اداره,وحده,من الاولي الي الرابعه,الخامسه والمنشطه,بي سي جي
ديرب نجم,طحا المرج,الأحد، الأربعاء,الأربعاء,
ديرب نجم,عودة سالم,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
ديرب نجم,فرغان,الأربعاء,الأربعاء,الأربعاء 4
ديرب نجم,قرموط صهبره,الإثنين,الإثنين 2، الإثنين 3,
ديرب نجم,كراديس,الإثنين,الإثنين,
ديرب نجم,كفر اللبا,الثلاثاء,الثلاثاء,
ديرب نجم,كفر جنيدى,الإثنين,,
ديرب نجم,مناحريت,الثلاثاء,الثلاثاء,
ديرب نجم,منشاه صهبره,الأحد، الأربعاء,الأحد، الأربعاء 4,
صان الحجر,الإتحاد,الأحد 2، الأحد 4,الأحد 4,
صان الحجر,البرادعيه,الإثنين 2، الإثنين 4,,
صان الحجر,البكارشة,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,الرجايله,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
صان الحجر,الرست,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2,
صان الحجر,القصبى شرق,الثلاثاء 2، الثلاثاء 4,الثلاثاء 2، الثلاثاء 4,
صان الحجر,القصبى غرب,الإثنين 2، الإثنين 4,الإثنين 4,
صان الحجر,الملاحة,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
صان الحجر,الناصريية,الأحد,الأحد,الأحد 5
صان الحجر,النجيحى,الثلاثاء 1، الثلاثاء 3,الثلاثاء 1,
صان الحجر,تانيس,الأربعاء 1، الأربعاء 3,الأربعاء 1، الأربعاء 3,
صان الحجر,خمسة خفرع,الأحد 1، الأحد 3,الأحد 1,
صان الحجر,صان البحرية,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,صان القبلية,السبت، الثلاثاء، الخميس,الخميس,السبت، الثلاثاء
صان الحجر,عبد العزيز الإمام,الإثنين 2، الإثنين 4,الإثنين 2، الإثنين 4,
صان الحجر,مساعيد,الإثنين,الإثنين,الإثنين 4
صان الحجر,وكيل النيابه,الأربعاء 2، الأربعاء 4,الأربعاء 2، الأربعاء 4,
فاقوس,أبو عاصى,الأحد 2، الأحد 4,,
